State,Median Income,Medicare spending per patient,Skilled Nursing Facility,Weighted Efficiency Domain Score,spending
AZ,395.5902564,0.614050838,1.329645411,0.778900939,medium
AZ,302.8902564,0.652429015,1.889789944,0,medium
AZ,365.1902564,0.620447201,1.635770912,0.389450469,medium
AZ,351.6235898,0.63963629,1.538071284,0,medium
AZ,444.1652564,0.626843564,2.566243558,0,medium
AZ,385.9680787,0.588465387,1.345463446,1.947252347,medium
AZ,239.6735898,0.633239927,2.573687339,0.778900939,medium
AZ,405.3902564,0.575672661,2.107520544,1.947252347,medium
AZ,382.1819231,0.633239927,2.006099025,0,medium
AZ,299.6652564,0.626843564,1.988420045,0.389450469,medium
AZ,342.0569231,0.607654475,3.18593834,1.168351408,medium
AZ,539.5485898,0.614050838,2.21173348,0.389450469,medium
AZ,180.1652564,0.633239927,1.574359717,0.389450469,medium
AZ,461.1902564,0.63963629,2.913309855,0.778900939,medium
AZ,417.8485898,0.620447201,3.56557118,0.389450469,medium
AZ,297.8319231,0.575672661,1.269164689,1.947252347,medium
AZ,289.6402564,0.607654475,1.937244049,1.168351408,medium
AZ,376.5402564,0.569276298,2.151252758,2.336702817,medium
AZ,385.9680787,0.620447201,1.325923521,0.778900939,medium
AZ,379.2402564,0.626843564,2.555077886,0,medium
AZ,354.6069231,0.53089812,1.917704124,5.563578135,low
AZ,338.9652564,0.550087209,1.62088335,2.726153286,medium
AZ,548.5319231,0.447745403,0.376841422,3.894504694,low
AZ,356.5235898,0.48612358,0.910932721,3.894504694,low
AZ,211.3902564,0.439177239,1.980251377,0.602647723,low
AZ,246.3402564,0.439177239,1.980251377,0.602647723,low
AZ,365.4069231,0.511709032,0.728560082,5.563578135,low
AZ,431.0902564,0.652429015,2.515067563,0,medium
AZ,187.0985898,0.402970863,0.672731723,4.868130868,low
AZ,465.9652564,0.63963629,1.71951345,0.389450469,medium
AZ,701.3985898,0.658825378,2.040526513,0,medium
AZ,412.1319231,0.633239927,2.919823164,0,medium
AZ,465.6569231,0.633239927,1.92328696,0,medium
AZ,446.3235898,0.620447201,1.760454247,0.389450469,medium
AZ,404.5319231,0.633239927,2.302919799,0,medium
