hospitalID,expenditure,efficiency
649,18791,0.005321697
650,21051,0.004712365
651,22218,0.004428841
652,21051,0.004712365
653,22218,0.004428841
654,23385,0.004246312
655,19433,0.005115011
656,20456,0.004854321
657,20292,0.00490341
658,19796,0.004940392
659,19642,0.005035129
660,20366,0.004870863
661,23490,0.004189017
662,20366,0.004870863
663,23490,0.004189017
664,19966,0.004958429
665,19163,0.005171424
666,19115,0.005200105
667,22029,0.004380589
668,20856,0.004775604
669,20597,0.004840511
670,19366,0.005132707
671,20826,0.00480169
672,20609,0.004847397
673,19258,0.005161491
674,18027,0.005464026
675,18915,0.005244515
676,19133,0.005059322
677,18862,0.005259251
678,23524,0.004080939
679,18134,0.005122973
680,22261,0.004393334
681,23506,0.004147877
682,18130,0.005333701
683,23263,0.004135322
684,19860,0.00490433
685,20747,0.004762134
686,21064,0.004733194
687,20114,0.004921945
688,20219,0.004827143
689,22539,0.004379076
690,21417,0.004641173
691,18376,0.005360253
692,18450,0.005067751
693,16687,0.005902799
694,18348,0.005406584
695,19875,0.004779874
696,18906,0.004887337
697,19998,0.004765477
698,19247,0.005096898
699,18312,0.005307995
700,19949,0.004997744
701,20169,0.00475978
702,19949,0.004997744
703,20169,0.00475978
704,18279,0.005240987
705,19533,0.004960836
706,19240,0.005109148
707,18575,0.005254374
708,21003,0.004699329
709,20485,0.004842568
710,16369,0.006078563
711,21511,0.004606945
712,21921,0.004516217
713,21369,0.004679676
714,18986,0.0051933
715,19310,0.004774728
716,21268,0.004476208
717,18557,0.005254082
718,19561,0.005096876
719,19273,0.0051004
720,19169,0.005206323
721,19011,0.005249592
722,20695,0.004827253
723,20640,0.004786822
724,19398,0.005108774
725,17138,0.005659937
726,19910,0.004972376
727,19952,0.004806536
728,19048,0.005228895
729,17726,0.005274738
730,20990,0.004759409
731,20028,0.004978031
732,15687,0.006374705
733,18548,0.00528898
734,18553,0.005212095
735,17934,0.005564849
736,15260,0.006526868
737,21036,0.004715725
738,19363,0.005071528
739,19763,0.005004301
740,19393,0.00514103
741,21535,0.004467147
742,18597,0.005275044
